Type,Power Type,Category,Series,"FAMILY 
For Archive & one pager",Subheading,Position,Model Name,Description,Dimming,output power (Sorting),output Power(W),Output Current (Sorting),Output Current (A),Output Current,Output Voltage (Sorting),Output Voltage,safety,water proof level,Datasheet,Terminal,BOM Cost$,MOQ 10K Pcs,"EXWorks$ 
MOQ 10k",MOQ 5k Pcs,EXWorks$ MOQ 5k,MOQ 2k Pcs,EXWorks$ MOQ 2k,MOQ 1k Pcs,EXWorks$ MOQ 1k,MOQ 500 Pcs,EXWorks$ MOQ 500,Sample Price 1-10 pcs,EXWorks Price for Order 100-299pcs,EXWorks Price for Order 300-499pcs,Sample Price 1-10 pcs,DAP Price for Order 100-299pcs,DAP Price for Order 300-499pcs,case material,dimension(mm),Status,Responsible,Product Line,Programmable Responsible,Carton Size(mm),Net Weight(kg),Gross Weight(kg),Units/ Carton,"Pallet Size
(mm)",Pallet Weight(kg),Cartons/Pallet,Total Weight/ pallet
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Blue” Wireless Series",50 Watts Flicker Free Digital Programing Series,Wireless Bluetooth Dimming<br>Indoor Application<br>27-45Vout<br>108-305Vac<br>UL Class P(Q1 2020),1,PLD050-1SCF892PB-XXX,"Indoor Constant Current,flicker-free,wireless programmable,  MESH BLT SIG5.0",wireless dimming,50,50,700,700-1250,700-1250A,27,27-45V,UL Class P(Q1 2020),IP65,https://greenwattpower.com/wp-content/uploads/2020/01/07-Pickle-Blue-42-50.pdf,wire,  5.93 ,10000,  8.63 ,5000,  8.72 ,2000,  8.90 ,1000,  9.35 ,500,  9.79 ,  26.70 ,  12.73 ,  11.75 ,  23.50 ,  15.27 ,  14.10 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Plus” Series",42 Watts Flicker Free Plus Digital Programing Series                           ,Isolated Wired or Wireless Bluetooth Dimming<br>Indoor Application<br>27-45Vout<br>108-305Vac<br>UL Class P(Q1 2020),1,PLD042-1SCF992PB-XXX,"Indoor Constant Current,flicker-free,wireless programmable,  MESH BLT SIG5.0, PLUS isolated 0-10V dimming and 12V aux power complying with UL2019 second edition","0-10V,PWM,Resistor,Wireless Dimming",42,42,600,600-1250,600-1250A,27,27-45V,UL Class P    (Q1 2020),IP20,https://greenwattpower.com/wp-content/uploads/2020/01/08-Pickle-Plus-42-50.pdf,wire,  5.87 ,10000,  8.54 ,5000,  8.62 ,2000,  8.80 ,1000,  9.24 ,500,  9.68 ,  26.40 ,  12.58 ,  11.62 ,  23.23 ,  15.10 ,  13.94 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"42/50W Programmable Constant Current LED Drivers
Flicker-Free “Pickle-Plus” Series",50 Watts Flicker Free Plus Digital Programing Series,Isolated Wired or Wireless Bluetooth Dimming<br>Indoor Application<br>27-45Vout<br>108-305Vac<br>UL Class P(Q1 2020),1,PLD050-1SCF992PB-XXX,"Indoor Constant Current,flicker-free,wireless programmable,  MESH BLT SIG5.0, PLUS isolated 0-10V dimming and 12V aux power complying with UL2019 second edition","0-10V,PWM,Resistor,Wireless Dimming",50,50,700,700-1400,700-1400A,27,27-45V,UL Class P      (Q1 2020),IP65,https://greenwattpower.com/wp-content/uploads/2020/01/08-Pickle-Plus-42-50.pdf,wire,  6.53 ,10000,  9.51 ,5000,  9.60 ,2000,  9.80 ,1000,  10.29 ,500,  10.78 ,  29.40 ,  14.01 ,  12.94 ,  25.87 ,  16.82 ,  15.52 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"42/50W Programmable Dual-channel Constant Current LED Drivers
Flicker-Free “Pickle-Mate” Series",42 Watts Dual Channels Flicker Free Plus Digital Programming Series                           ,Isolated Wired or Wireless Bluetooth Dimming<br>Indoor Application<br>27-45Vout<br>108-305Vac<br>UL class P(Q1 2020),1,PLD042-2SCF992-1250A,"Indoor Constant Current,Complimentary dual outputs,flicker-free,wireless programmable,wireless color temperature programming and adjusting,  MESH BLT SIG5.0, PLUS isolated 0-10V dimming and 12V aux power complying with UL2019 second edition","0-10V,PWM,Resistor,Wireless Dimming",42,42,0,"0~1.25
+
1.25~0","0~1.25A
+
1.25~0A",,27~45V,UL class P(Q1 2020),IP20,https://greenwattpower.com/wp-content/uploads/2020/01/09-Pickle-Mate-42-50.pdf,wire,  8.60 ,10000,  12.51 ,5000,  12.64 ,2000,  12.90 ,1000,  13.55 ,500,  14.19 ,  38.70 ,  18.45 ,  17.03 ,  34.06 ,  22.14 ,  20.43 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,
Indoor,Low Power,LED Drivers > Low Power LED Drivers,"42/50W Programmable Dual-channel Constant Current LED Drivers
Flicker-Free “Pickle-Mate” Series",50 Watts Dual Channel Flicker Free Plus Digital Programing Series,Isolated Wired or Wireless Bluetooth Dimming<br>Indoor Application<br>27-45Vout<br>108-305Vac<br>UL Class P(Q1 2020),1,PLD050-2SCF992-1400A,"Indoor Constant Current,Complimentary dual outputs,flicker-free,wireless programmable,wireless color temperature programming and adjusting,  MESH BLT SIG5.0, PLUS isolated 0-10V dimming and 12V aux power complying with UL2019 second edition","0-10V,PWM,Resistor,Wireless Dimming",50,50,0,"0~1.4
+
1.4~0","0~1.4A
+
1.4~0A",,27~45V,UL Class P(Q1 2020),IP65 ,https://greenwattpower.com/wp-content/uploads/2020/01/09-Pickle-Mate-42-50.pdf,wire,  9.27 ,10000,  13.48 ,5000,  13.62 ,2000,  13.90 ,1000,  14.60 ,500,  15.29 ,  41.70 ,  19.88 ,  18.35 ,  36.70 ,  23.85 ,  22.02 ,Metal,160*30*26,Sample Availbale,mingxu@fsp-powerland,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
120W Programmable Series",120 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>12-170Vout<br>90-305Vac<br>UL,2,PLD120-SMR-24(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",120,120,5,5,up to 5A,12,12-30V,UL ,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/10-Programmable-120.pdf,cable,13.89,10000,  17.46 ,5000,  17.64 ,2000,  18.00 ,1000,  18.90 ,500,  19.80 ,  54.00 ,  25.74 ,  23.76 ,  47.52 ,  30.89 ,  28.51 , Metal , 227*49*40.5 , Mass Production , xiaochencao@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
120W Programmable Series",120 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>12-170Vout<br>90-305Vac<br>UL,2,PLD120-SMR-36(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",120,120,3.3,3.3,up to 3.3A,23,23-45V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/10-Programmable-120.pdf,cable,13.89,10000,  17.46 ,5000,  17.64 ,2000,  18.00 ,1000,  18.90 ,500,  19.80 ,  54.00 ,  25.74 ,  23.76 ,  47.52 ,  30.89 ,  28.51 , Metal , 227*49*40.5 , Mass Production , xiaochencao@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
120W Programmable Series",120 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>12-170Vout<br>90-305Vac<br>UL,2,PLD120-SMR-48(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",120,120,2.5,2.5,up to 2.5A,29,29-58.8V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/10-Programmable-120.pdf,cable,13.89,10000,  17.46 ,5000,  17.64 ,2000,  18.00 ,1000,  18.90 ,500,  19.80 ,  54.00 ,  25.74 ,  23.76 ,  47.52 ,  30.89 ,  28.51 , Metal , 227*49*40.5 , Mass Production , xiaochencao@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
120W Programmable Series",120 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>12-170Vout<br>90-305Vac<br>UL,2,PLD120-SMR-86(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",120,120,1.68,1.68,up to 1.68A,35,35-86V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/10-Programmable-120.pdf,cable,13.89,10000,  17.46 ,5000,  17.64 ,2000,  18.00 ,1000,  18.90 ,500,  19.80 ,  54.00 ,  25.74 ,  23.76 ,  47.52 ,  30.89 ,  28.51 , Metal , 227*49*40.5 , Mass Production , xiaochencao@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
120W Programmable Series",120 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>12-170Vout<br>90-305Vac<br>UL,2,PLD120-SMR-114(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",120,120,1.26,1.26,up to 1.26A,47,47-114V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/10-Programmable-120.pdf,cable,13.97,10000,  17.46 ,5000,  17.64 ,2000,  18.00 ,1000,  18.90 ,500,  19.80 ,  54.00 ,  25.74 ,  23.76 ,  47.52 ,  30.89 ,  28.51 , Metal , 227*49*40.5 , Mass Production , xiaochencao@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
120W Programmable Series",120 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>12-170Vout<br>90-305Vac<br>UL,2,PLD120-SMR-170(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",120,120,0.84,0.84,up to 0.84A,72,72-170V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/10-Programmable-120.pdf,cable,14.03,10000,  17.46 ,5000,  17.64 ,2000,  18.00 ,1000,  18.90 ,500,  19.80 ,  54.00 ,  25.74 ,  23.76 ,  47.52 ,  30.89 ,  28.51 , Metal , 227*49*40.5 , Mass Production , xiaochencao@fsp-powerland.com , ALP ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
150W Programmable Series",150 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD150-SMT-24(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",150,150,7.5,7.5,up to 7.5A,16,16-24V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/11-Programmable-150.pdf,cable,22.06/24.26/24.26,10000,  22.31 ,5000,  22.54 ,2000,  23.00 ,1000,  24.15 ,500,  25.30 ,  69.00 ,  32.89 ,  30.36 ,  60.72 ,  39.47 ,  36.43 , Metal , 200*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
150W Programmable Series",150 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD150-SMT-36(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",150,150,5,5,up to 5A,24,24-36V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/11-Programmable-150.pdf,cable,22.06/24.26/24.26,10000,  22.31 ,5000,  22.54 ,2000,  23.00 ,1000,  24.15 ,500,  25.30 ,  69.00 ,  32.89 ,  30.36 ,  60.72 ,  39.47 ,  36.43 , Metal , 200*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
150W Programmable Series",150 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD150-SMT-42(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",150,150,4.3,4.3,up to 4.3A,28,28-42V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/11-Programmable-150.pdf,cable,22.06/24.26/24.26,10000,  22.31 ,5000,  22.54 ,2000,  23.00 ,1000,  24.15 ,500,  25.30 ,  69.00 ,  32.89 ,  30.36 ,  60.72 ,  39.47 ,  36.43 , Metal , 200*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
150W Programmable Series",150 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD150-SMT-48(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",150,150,3.75,3.75,up to 3.75A,32,32-48V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/11-Programmable-150.pdf,cable,22.06/24.26/24.26,10000,  22.31 ,5000,  22.54 ,2000,  23.00 ,1000,  24.15 ,500,  25.30 ,  69.00 ,  32.89 ,  30.36 ,  60.72 ,  39.47 ,  36.43 , Metal , 200*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
150W Programmable Series",150 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD150-SMT-58(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",150,150,2.6,2.6,up to 2.6A,29,29-58V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/11-Programmable-150.pdf,cable,22.06/24.26/24.26,10000,  22.31 ,5000,  22.54 ,2000,  23.00 ,1000,  24.15 ,500,  25.30 ,  69.00 ,  32.89 ,  30.36 ,  60.72 ,  39.47 ,  36.43 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
150W Programmable Series",150 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD150-SMT-95(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",150,150,1.89,1.89,up to 1.89A,47,47-95V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/11-Programmable-150.pdf,cable,22.06/24.26/24.26,10000,  22.31 ,5000,  22.54 ,2000,  23.00 ,1000,  24.15 ,500,  25.30 ,  69.00 ,  32.89 ,  30.36 ,  60.72 ,  39.47 ,  36.43 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
150W Programmable Series",150 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD150-SMT-142(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",150,150,1.26,1.26,up to 1.26A,71,71-142V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/11-Programmable-150.pdf,cable,22.06/24.26/24.26,10000,  22.31 ,5000,  22.54 ,2000,  23.00 ,1000,  24.15 ,500,  25.30 ,  69.00 ,  32.89 ,  30.36 ,  60.72 ,  39.47 ,  36.43 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
150W Programmable Series",150 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD150-SMT-190(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",150,150,0.95,0.95,up to 0.95A,95,95-190V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/11-Programmable-150.pdf,cable,22.06/24.26/24.26,10000,  22.31 ,5000,  22.54 ,2000,  23.00 ,1000,  24.15 ,500,  25.30 ,  69.00 ,  32.89 ,  30.36 ,  60.72 ,  39.47 ,  36.43 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
150W Programmable Series",150 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD150-SMT-285(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",150,150,0.63,0.63,up to 0.63A,142,142-285V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/11-Programmable-150.pdf,cable,22.06/24.26/24.26,10000,  22.31 ,5000,  22.54 ,2000,  23.00 ,1000,  24.15 ,500,  25.30 ,  69.00 ,  32.89 ,  30.36 ,  60.72 ,  39.47 ,  36.43 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
200W Programmable Series",200 Watts Digital Programing Series,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD200-SMT-24(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",200,200,10,10,up to 10A,16,16-24V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/12-Programmable-200.pdf,cable,26.47/28.68/28.68,10000,  27.16 ,5000,  27.44 ,2000,  28.00 ,1000,  29.40 ,500,  30.80 ,  84.00 ,  40.04 ,  36.96 ,  73.92 ,  48.05 ,  44.35 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
200W Programmable Series",200 Watts Digital Programing Series                                                            ,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD200-SMT-36(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",200,200,6.67,6.67,up to 6.67A,24,24-36V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/12-Programmable-200.pdf,cable,26.47/28.68/28.68,10000,  27.16 ,5000,  27.44 ,2000,  28.00 ,1000,  29.40 ,500,  30.80 ,  84.00 ,  40.04 ,  36.96 ,  73.92 ,  48.05 ,  44.35 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
200W Programmable Series",200 Watts Digital Programing Series                                                            ,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD200-SMT-42(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",200,200,5.7,5.7,up to 5.7A,28,28-42V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/12-Programmable-200.pdf,cable,26.47/28.68/28.68,10000,  27.16 ,5000,  27.44 ,2000,  28.00 ,1000,  29.40 ,500,  30.80 ,  84.00 ,  40.04 ,  36.96 ,  73.92 ,  48.05 ,  44.35 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
200W Programmable Series",200 Watts Digital Programing Series                                                            ,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD200-SMT-48(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",200,200,5,5,up to 5A,32,32-48V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/12-Programmable-200.pdf,cable,26.47/28.68/28.68,10000,  27.16 ,5000,  27.44 ,2000,  28.00 ,1000,  29.40 ,500,  30.80 ,  84.00 ,  40.04 ,  36.96 ,  73.92 ,  48.05 ,  44.35 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
200W Programmable Series",200 Watts Digital Programing Series                                                            ,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD200-SMT-58(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",200,200,3.2,3.2,up to 3.2A,29,29-58V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/12-Programmable-200.pdf,cable,26.47/28.68/28.68,10000,  27.16 ,5000,  27.44 ,2000,  28.00 ,1000,  29.40 ,500,  30.80 ,  84.00 ,  40.04 ,  36.96 ,  73.92 ,  48.05 ,  44.35 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
200W Programmable Series",200 Watts Digital Programing Series                                                            ,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD200-SMT-95(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",200,200,2.52,2.52,up to 2.52A,47,47-95V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/12-Programmable-200.pdf,cable,26.47/28.68/28.68,10000,  27.16 ,5000,  27.44 ,2000,  28.00 ,1000,  29.40 ,500,  30.80 ,  84.00 ,  40.04 ,  36.96 ,  73.92 ,  48.05 ,  44.35 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
200W Programmable Series",200 Watts Digital Programing Series                                                            ,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD200-SMT-142(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",200,200,1.68,1.68,up to 1.68A,71,71-142V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/12-Programmable-200.pdf,cable,26.47/28.68/28.68,10000,  27.16 ,5000,  27.44 ,2000,  28.00 ,1000,  29.40 ,500,  30.80 ,  84.00 ,  40.04 ,  36.96 ,  73.92 ,  48.05 ,  44.35 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
200W Programmable Series",200 Watts Digital Programing Series                                                            ,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD200-SMT-190(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",200,200,1.28,1.28,up to 1.28A,95,95-190V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/12-Programmable-200.pdf,cable,26.47/28.68/28.68,10000,  27.16 ,5000,  27.44 ,2000,  28.00 ,1000,  29.40 ,500,  30.80 ,  84.00 ,  40.04 ,  36.96 ,  73.92 ,  48.05 ,  44.35 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
Outdoor,Mid Power,LED Drivers > Mid Power LED Drivers,"All-in-One Dimming Outdoor LED Drivers
200W Programmable Series",200 Watts Digital Programing Series                                                            ,Multi Dimming Function (Ultra Deep Resolution with DMX Option)<br>Indoor/Outdoor Applications<br>16-285Vout<br>90-305Vac<br>UL,2,PLD200-SMT-285(Z/B/E),outdoor Constant Current，programmable,"0-10V,PWM,Reset,DMX (upon request) ultra-deep dimming",200,200,0.84,0.84,up to 0.84A,142,142-285V,UL,IP67,https://greenwattpower.com/wp-content/uploads/2020/01/12-Programmable-200.pdf,cable,26.47/28.68/28.68,10000,  27.16 ,5000,  27.44 ,2000,  28.00 ,1000,  29.40 ,500,  30.80 ,  84.00 ,  40.04 ,  36.96 ,  73.92 ,  48.05 ,  44.35 , Metal , 230*68*42.5 , Mass Production , zhongqiyu@fsp-powerland.com , ALP ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
